,nome,link,indirizzo,sito,facebook,telefono
84,Bistrot il Birecto,https://www.tripadvisor.it/Restaurant_Review-g635619-d1510580-Reviews-Bistrot_il_Birecto-Atrani_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Umberto, 84010 Atrani Italia",,http://www.facebook.com/bistrotilbirect, 089 871017
85,Villa Maria Restaurant,https://www.tripadvisor.it/Restaurant_Review-g194873-d1545214-Reviews-Villa_Maria_Restaurant-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Santa Chiara 2, 84010, Ravello Italia",http://www.villamaria.it,, 089 857255
86,Ristorante Garden,https://www.tripadvisor.it/Restaurant_Review-g194873-d792984-Reviews-Garden_Restaurant-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Boccaccio, 4, 84010, Ravello Italia",http://www.gardenravello.com,, 089 857226
87,Fiordipizza,https://www.tripadvisor.it/Restaurant_Review-g187780-d8153337-Reviews-Fiordipizza-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Pantaleone Comite, 84011, Amalfi Italia",,,
88,Ristorante Raffaele dell'Hotel Parsifal,https://www.tripadvisor.it/Restaurant_Review-g194873-d1950687-Reviews-Ristorante_Raffaele_dell_Hotel_Parsifal-Ravello_Amalfi_Coast_Province_of_Salerno_.html,"Viale Gioacchino d'Anna 5 Presso Hotel Parsifal, 84010, Ravello Italia",http://www.hotelparsifal.com,, 089 857144
89,Freedom Pub Pizzeria,https://www.tripadvisor.it/Restaurant_Review-g194806-d5851093-Reviews-Freedom_Pub_Pizzeria-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via G.Amendola 37, 84010, Maiori Italia",,http://www.facebook.com/freedompubmaior, 334 566 2276
90,Bar Pizzeria - Da Nando,https://www.tripadvisor.it/Restaurant_Review-g580201-d3183758-Reviews-Bar_Pizzeria_Da_Nando-Agerola_Province_of_Naples_Campania.html,"Via Matteo Renato Florio 77/79, 80051, Agerola Italia",http://barpizzeriadanando.it,, 081 879 1102
91,Trattoria Pizzeria La Piazza da Nino,https://www.tripadvisor.it/Restaurant_Review-g635621-d10804526-Reviews-Trattoria_Pizzeria_La_Piazza_da_Nino-Conca_dei_Marini_Amalfi_Coast_Province_of_S.html,"Via Roma 62, 84010 Conca dei Marini Italia",http://www.lapiazzadanino.it,, 089 831833
92,Cantina Miseria E Nobilta,https://www.tripadvisor.it/Restaurant_Review-g187780-d4572584-Reviews-Cantina_Miseria_E_Nobilta-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via delle Cartiere 98, 84011, Amalfi Italia",,,
93,La Preferita,https://www.tripadvisor.it/Restaurant_Review-g187780-d2224125-Reviews-La_Preferita-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Salvatore Quasimodo 20/22, 84011, Amalfi Italia",,,
